country,GDP_per_capita,ICT goods exports,R_and_D_expenditure,doctorates_percent,high_technology_exports,industrial_design_applications,journal_articles,patent_applications,researchers_per_million
Namibia,5320.0,0.5905627275,,,5756165.0,1.0,99.4,,
Nauru,11850.0,,,,,,0.3,,
Nepal,740.0,0.001414004,,,2792696.0,16.0,521.1,11.0,
Netherlands,49030.0,10.9236169226,2.01329,0.567080020904541,59127953689.0,,31068.9,2207.0,4548.1363
New Caledonia,,0.5114945259,,,36492164.0,,,,
New Zealand,40270.0,1.0801778973,,0.807420015335083,604218907.0,345.0,7481.3,1184.0,
Nicaragua,2020.0,0.0717674654,0.10795,,9962232.0,,26.6,,
Niger,390.0,0.2549113289,,,10668321.0,,56.1,,
Nigeria,2850.0,,,,,,3742.8,,
Northern Mariana Islands,,,,,,,,,
Norway,93050.0,1.0786139488,1.93301,0.94760000705719,4616966268.0,615.0,10471.1,1153.0,5915.60069
Oman,18150.0,0.1603300418,0.24647,0.301219999790192,204251051.0,5.0,774.1,,201.97321
Pakistan,1430.0,0.2412357619,0.24554,,259422148.0,364.0,8337.2,209.0,294.3551
Palau,11790.0,1.5820705562,,,2201531.0,,6.4,,
Panama,11480.0,7.2201422014,,,,19.0,161.5,14.0,
Papua New Guinea,2780.0,,,,,3.0,59.7,1.0,
Paraguay,4210.0,0.2388283688,0.12931,0.113920003175735,47679184.0,,97.5,,184.06045
Peru,6160.0,0.1470358417,0.11729,,195064245.0,131.0,910.2,67.0,
Philippines,3520.0,42.9080262311,,,26192288870.0,539.0,1384.7,375.0,
Poland,13340.0,8.11592233,1.00337,,13444666348.0,1.0,32766.5,4676.0,2139.09512
Portugal,20440.0,2.4499833026,1.27885,0.486809998750687,1905762003.0,1862.0,14581.9,925.0,3824.19395
Puerto Rico,19430.0,,0.43078,,,,585.8,,319.82728
Qatar,75660.0,0.0764062504,,,137486327.0,,1180.1,,
Romania,9530.0,3.6647749247,0.48765,,3536097090.0,830.0,11527.3,975.0,894.8137
Russian Federation,11760.0,0.8055526309,1.13202,,9677335778.0,2616.0,53060.6,29269.0,3131.11425
Rwanda,710.0,0.8133255817,,,7610522.0,5.0,105.2,5.0,
Samoa,4070.0,0.2028626609,,,66788.0,,8.2,1.0,
San Marino,,,,,,,7.5,7.0,
Sao Tome and Principe,1690.0,2.4453491214,,,200157.0,,1.4,,
Saudi Arabia,23810.0,0.1611752293,,,276022477.0,321.0,8885.0,715.0,
Senegal,980.0,1.0452141523,,,27132070.0,,371.2,,
Serbia,5540.0,1.2103299295,0.8661,0.365209996700287,292333396.0,122.0,5072.3,178.0,2071.21672
Seychelles,14010.0,0.2112924459,,,1229820.0,,19.0,,
Sierra Leone,550.0,0.1695809134,,,35094.0,,34.3,,
Singapore,54020.0,33.4574745306,,,130988629328.0,794.0,11220.9,1469.0,
Sint Maarten (Dutch part),,,,,,,,,
Slovak Republic,17580.0,16.6488297982,1.17845,0.661260008811951,6878304957.0,201.0,5205.7,228.0,2654.77609
Slovenia,22240.0,2.0150016312,2.21174,1.76470994949341,1427285488.0,19.0,3631.6,,3820.99185
Solomon Islands,1920.0,0.000588161,,,193415.0,,10.9,,
Somalia,,,,,,,4.5,,
South Africa,6070.0,1.4350255957,,,1960691751.0,723.0,11417.8,889.0,
South Sudan,1020.0,,,,,,5.1,,
Spain,28420.0,1.257399683,1.21961,,14240904065.0,17249.0,54794.2,2799.0,2654.65143
Sri Lanka,3760.0,0.3496481536,,,59295119.0,390.0,756.7,218.0,
St. Kitts and Nevis,15450.0,,,,,,15.3,,
St. Lucia,8200.0,10.1852132403,,,,,2.8,,
St. Martin (French part),,,,,,,,,
St. Vincent and the Grenadines,6670.0,1.7223390807,,,472716.0,,0.8,,
Sudan,2000.0,0.0052971831,,,978796.0,230.0,255.2,267.0,
Suriname,8830.0,,,,,,13.5,,
Sweden,57880.0,6.9529854304,3.26285,1.20635998249054,14951672746.0,821.0,20668.9,2038.0,7021.88452
Switzerland,85780.0,1.0643917373,,2.90017008781433,53257659389.0,4858.0,21884.1,1477.0,
Syrian Arab Republic,,,,,,251.0,270.3,198.0,
Tajikistan,1240.0,,0.1089,,,,54.0,,
Tanzania,910.0,6.0679578593,,,8771922.0,,547.0,1.0,
Thailand,5710.0,16.6097957047,0.6272,,34543515383.0,3383.0,8675.4,1029.0,874.28723
Timor-Leste,2980.0,,,,,,7.8,,
Togo,610.0,0.1128275392,,,1192704.0,,78.0,,
Tonga,4280.0,,,,,,2.7,,
Trinidad and Tobago,18840.0,0.0860890042,,,5169055.0,18.0,147.2,3.0,
Tunisia,3930.0,5.4130849882,0.63168,,681454561.0,129.0,5025.9,180.0,1787.25761
Turkey,12000.0,1.4680466649,,0.338629990816116,2323079468.0,38713.0,33113.0,5352.0,
Turkmenistan,7030.0,,,,,,6.0,,
Turks and Caicos Islands,,,,,,,,,
Tuvalu,5490.0,,,,,,1.1,,
Uganda,670.0,1.4238631821,,,7695449.0,,607.2,9.0,
Ukraine,2650.0,0.8249902606,0.61742,,1386828856.0,4289.0,7454.8,2271.0,1005.99722
United Arab Emirates,43360.0,2.2649108446,0.86559,,834367361.0,,2261.6,15.0,2003.39032
United Kingdom,43720.0,4.1008758125,1.70304,,69417266219.0,5999.0,101407.0,14867.0,4470.78388
United States,56300.0,9.4385216576,2.79385,1.70131003856659,154345554351.0,22631.0,429139.0,288335.0,
Uruguay,15830.0,0.1486961516,,,266119238.0,8.0,696.3,26.0,524.25212
Uzbekistan,2170.0,,0.21354,,,406.0,287.8,288.0,514.66058
Vanuatu,2860.0,,,,,,10.9,,
"Venezuela, RB",,,,,,,1025.2,,
Vietnam,1950.0,29.3702554271,,,38735943417.0,1839.0,2292.1,582.0,
Virgin Islands (U.S.),,,,,,,,,
West Bank and Gaza,3440.0,0.3518852325,,0.210679993033409,5099724.0,,,,
"Yemen, Rep.",1100.0,0.0757393629,,,2946931.0,4.0,106.1,5.0,
Zambia,1560.0,0.4707710157,,,36503179.0,,154.3,,
Zimbabwe,890.0,0.057918433,,,10072513.0,,268.4,9.0,
